,query_id,prediction,answer,validated_answers,f1,exact_match
83,6a9fd578-e061-4d82-9473-4e521d0abe11,1,0,0<sv>0,0.0,0.0
726,5ba24f17-a279-43a8-bd43-09740171bf6f,4,14,14<sv>14,0.0,0.0
847,d1ba4817-b6be-4cbe-b1cf-006df277fdb6,5,3,3<sv>3<sv>3,0.0,0.0
1146,30e30004-e6d0-4fa4-919d-6e5d3633221c,18,37,37,0.0,0.0
568,8c0cbfc6-298b-4347-b15c-2b8fcae61d69,1,5,5<sv>5,0.0,0.0
1431,0a0488e3-68dc-42ea-ae0a-3bf98bae18c1,99.17,99.1,99.1<sv>99.1,0.0,0.0
920,34000d2d-6a1d-4955-a198-410ad27261c4,7,34,38<sv>68,0.0,0.0
468,dbff5765-0414-4359-a18d-9dfa6b2a12c6,3,2,2,0.0,0.0
701,2091d4f0-9877-4fe7-a5e1-111a3b63ce80,3,1,1<sv>1,0.0,0.0
1510,41122050-52f1-4186-bb84-a2b179cc5963,8,2,2<sv>2,0.0,0.0
130,9b27311d-81ec-4f40-a4af-7ead916d5859,5,4,4<sv>4<sv>4,0.0,0.0
1644,1c6fc441-6663-43cb-9fda-3137af28e653,12.5,26,26<sv>26,0.0,0.0
1418,eebde27b-0cac-48ff-9252-28a7a23c10c7,16420,26420,26420<sv>26420,0.0,0.0
526,a159f705-e3e5-4cc4-bb05-b5f50ea140e6,13,7,7<sv>7<sv>7,0.0,0.0
597,ab3c0d5e-de51-464c-90c7-a63cd534b693,54,146,146<sv>194,0.0,0.0
1349,a86c1cca-3af3-41e9-bffc-4a9fe8d9bb19,12,13,13<sv>13,0.0,0.0
944,1dafb9b8-7519-4a87-981f-2a8afb52fc52,3,14,14<sv>17,0.0,0.0
962,f0e38fde-8516-4f73-bb42-7951b9836505,11000,9000,9000<sv>9000<sv>9000<sv>9000,0.0,0.0
1162,448feacf-a245-4b03-ab0b-7be6e7c8e3e4,6,4,7<sv>4<sv>7,0.0,0.0
1719,83264b6c-2e83-4b9c-81d0-6c81c376d1bf,1,10,10<sv>10,0.0,0.0
1221,31081a5d-b5c6-483a-8ae5-b10335719b5c,3944207,3843316,3843316<sv>3843316,0.0,0.0
296,bdb45ec6-64b7-4610-98df-97078d853fce,12200,22045,22012<sv>22080<sv>22080,0.0,0.0
1324,aa4a0a92-cc49-421f-a5a7-81f719af955a,171,161,138<sv>161,0.0,0.0
479,dee4ae17-51ba-4e39-9e36-3d9dad7102af,17,0,0<sv>0,0.0,0.0
763,4acd12c4-6394-40a2-a929-2ea6f0a7f340,6,3,3<sv>3,0.0,0.0
583,021cb82d-6424-4bc2-a5bf-9b28950ce68a,40,25,104<sv>104,0.0,0.0
