,query_id,prediction,answer,validated_answers,f1,exact_match
361,fad839fe-6bdf-49c0-b104-6392d17a12b5,taking intransigent negotiating stances,Russian Revolution of 1905,Russian Revolution<sv>Russian Revolution of 1905,0.0,0.0
392,fca7116f-43b4-4fb3-95b9-350f39057dfa,Chiefs,Bears,Bears<sv>Bears,0.0,0.0
312,c438c440-274e-4cf2-aafb-520bfb23f40b,Spanish,Acalan,native populations<sv>Acalan<sv>Acalan,0.0,0.0
322,01521a1d-a116-4b99-90c0-913d2f7e86be,Bengals,Bears,the Bears<sv>Bears,0.0,0.0
689,2f3a94a3-0b3a-4a3f-a1bd-a061a57cc1ae,Howes,Howe,Howe<sv>Howe,0.0,0.0
966,0bfd419d-ce31-4656-b729-e90a74ea77dc,under the age of 18,under 18,under 18,0.67,0.0
436,9c9f2201-d696-4207-b44e-196b717abd72,anti-treaty and pro-treaty forces,political parties,two largest political parties<sv>political parties<sv>political parties<sv>political parties,0.0,0.0
165,77897dc3-cd74-4624-bedb-810f1c7f6b71,1 to 10,crown introduced to Czechslovakia,19<sv>crown was introduced<sv>crown was introduced,0.29,0.0
552,65683a61-f053-4a15-b385-077479a7329e,Terry Venables,Alan Sugar,Alan Sugar<sv>Alan Sugar<sv>Alan Sugar,0.0,0.0
152,0420a4f4-fc96-4436-a6c7-fc799f0f6acd,Tamil,Telugu,Telugu language<sv>Telugu,0.0,0.0
623,9432f147-fed2-4655-8448-11df40f82759,Yancey Thigpen,Neil ODonnell,Neil ODonnell<sv>Neil ODonnell,0.0,0.0
570,5373d098-e6de-4160-8985-2154e888b345,Alfred A. Knopf Sr.,Samuel Knopf,Samuel Knopf<sv>Samuel Knopf,0.4,0.0
958,9761b10b-b73f-45cf-832b-afa4a65aeac0,receiving yards,rushing yards,receiving<sv>rushing yards,0.67,0.0
692,0d7c7d17-4809-4d04-b2a4-c163e8159fea,Kansas City,Chiefs,Chiefs<sv>Chiefs,0.0,0.0
371,fa0ff92d-eacc-4eaa-9ca0-7ab639445ef9,26.8,73,73.2<sv>-73.2,0.0,0.0
242,e1f90e7e-7bf7-4647-8e4a-b6251b959b65,between the ages of 18 and 24,18 and 24,18 and 24<sv>ages of 18 and 24<sv>18 and 24,0.91,0.0
684,f637366b-e816-4d06-94d0-602d9b1ff367,Braylon Edwards,Steve Johnson,Steve Johnson<sv>Steve Johnson,0.0,0.0
151,eef4423d-a925-43d1-ae05-92a57f153910,Kannada,Urdu,Urdu<sv>Urdu,0.0,0.0
730,fe04597a-d2f1-4314-9802-c16567bc06b8,10 th Cavalry settled in United States,10th Cavalry settled in United States,10th Cavalry settled in United States,0.77,0.0
1024,e9059d51-87c8-483d-843a-4d1bac855849,A2 series Humvees,ECV Humvees,ECV Humvees<sv>ECV Humvees,0.4,0.0
256,188f551d-2e02-48ac-9a32-f5cc443f1614,18 and 24,under the age of 18,18<sv>under the age of 18,0.5,0.0
204,8e8e69da-bc00-452f-9f62-a5412015ee28,Paris Peace Accords,first Valorous Unit Award,10th Cavalry<sv>first Valorous Unit Award,0.0,0.0
555,10ae6922-1c8d-4a74-b236-6b42dd793489,Minkhaung II,lord of Yamethin,Toungoo<sv>lord of Yamethin<sv>lord of Yamethin,0.0,0.0
523,374b2589-5288-481f-8937-974a9d859e04,imprison John V,sought to overthrow his father,sought to overthrow his father<sv>sought to overthrow his father,0.0,0.0
607,3476f97c-de93-4020-8f15-fd827199ee6d,under the age of 18,25 to 44,25 to 44<sv>25 to 44<sv>25 to 44,0.0,0.0
157,9ad8a381-5560-41de-afac-720a9d69e861,siege of  ⁇ urawno,siege of Żurawno,siege of Żurawno<sv>siege of Żurawno,0.57,0.0
1007,7b25f67c-71fc-4926-ba60-be5c7d985a75,Segas,Nintendo Entertainment Systems,Nintendo<sv>Nintendo Entertainment Systems,0.0,0.0
1016,4aaab5a5-fd9e-4039-93f4-6839933b4abc,Albany County,city of New York,the city of New York<sv>city of New York,0.0,0.0
964,554ca265-eedc-4728-9e7b-131d5170731c,passing touchdowns,rushing,rushing<sv>rushing,0.0,0.0
442,ff4a1d6e-73a5-4b81-8f2f-f852feb0ba53,Matt Prater,Prater,Prater<sv>Prater,0.67,0.0
814,6911351b-3c3a-45d1-add2-363e45df147d,"Orban was named ""Basilica""",Basilica,cannon designed by Orban<sv>Basilica,0.4,0.0
8,e48ea0f6-ca09-4448-aad5-1d5ff4035744,women and children <ss> women and children,women and children,women and children,0.86,0.0
23,456c2a83-2463-48ab-a4b4-a3c2f4fd292b,Art Euphoric,Taunton Art Association,Taunton Art Association<sv>Taunton Art Association<sv>Taunton Art Association<sv>Taunton Art Association<sv>Taunton Art Association,0.4,0.0
114,5a490623-c062-4240-ac63-30365cedf671,gateway to the west,Älvsborg Fortress,Sweden's gateway to the west<sv>Sweden's gateway<sv>Älvsborg Fortress,0.86,0.0
171,4599721c-36d2-4545-9e33-9d213d8be549,Martov's Menshevik Internationalists,Left Socialist-Revolutionaries,left Socialist-Revolutionaries<ss>Martov's Menshevik Internationalists<sv>left SRs<ss>Martov's Menshevik Internationalists,0.5,0.0
646,60dd759f-b4a3-4513-b539-0e072a7a4db4,Alexei surrendered the official,they cuggeled him,they cuggeled him<ss>with axes they cut him<sv>they cut him asunder<sv>with axes they cut him,0.0,0.0
451,caaf041f-3c93-447c-a3e5-7ba0f2cc7e9a,Lawrence Tynes,Plaxico Burress,Plaxico Burress<sv>Plaxico Burress,0.0,0.0
698,48e4857a-5cd5-49e8-bb83-740a7aa4ec2d,65 years of age,female householder with no husband,female householder with no husband<sv>female householder with no husband,0.0,0.0
757,79c24186-ad95-42b9-aea6-1dec9c3d4b73,lower secondary classes,primary classes,primary classes<sv>the primary classes<sv>primary classes,0.4,0.0
981,ad243a7e-0f0f-40af-a1a7-a46265528668,males,female,female<sv>female,0.0,0.0
182,1d20441a-9b31-4aac-8688-9e1575b062d7,Sir Anthony Cooke,Cecil,Cecil<sv>Cecil,0.0,0.0
756,85cd57ce-09b4-4b36-987a-92b397ab0b18,primary classes,pupils,pupils<sv>pupils<sv>pupils,0.0,0.0
571,2e8ed938-6129-461a-9fee-5e0f21b09f93,vice-president,treasurer,treasurer<sv>treasurer,0.0,0.0
656,a0688b38-6ecf-49ae-bf9c-1b0779812943,Chiefs,Jaguars,Jaguars<sv>Jaguars,0.0,0.0
36,4980eabf-f2e5-4b4b-877e-948b60ef13d8,Atlanta,Redskins,Redskins<sv>The Redskins<sv>The Redskins<sv>Washington Redskins,0.0,0.0
97,3875b27d-6517-47a2-90a7-2dc5b64b0b63,procurement,helicopter,helicopter<sv>helicopter,0.0,0.0
878,a87ccdc9-852a-4279-bcc5-b2f63b05ac5b,Dolphins,Miami,Miami<sv>Miami,0.0,0.0
456,3b8309be-ac03-4e6b-a263-4ade862e1782,Alexander invaded the region,bring Islam to the region,Islam to the region<sv>Islam to the region,0.33,0.0
593,65c6c28f-20ef-401b-8fe6-da1935a4f07c,Colts,Texans,Texans<sv>David Car,0.0,0.0
316,78826c2f-719a-49c7-9192-b79a7a61e3cc,South Bucks,Canterbury,.6<sv>Canterbury<sv>Canterbury<sv>Canterbury,0.0,0.0
65,21d0b260-d9cd-48fc-8f76-fc6647ab76d0,the king's own brothers openedly <ss> raised a rebellion,king's brothers raising a rebellion,brothers openly raising a rebellion,0.55,0.0
767,92dcbc50-27a4-4875-82c2-9ed4c57a5840,a pouring rain,a field of mud,The city of Brescia<sv>Brescia<sv>field of mud,0.0,0.0
882,3485f915-94f1-45d0-8359-b56b2d693176,25 to 44,45 to 64,45 to 64<sv>45 to 64,0.0,0.0
931,0509c4e8-e32a-4301-9441-341d00dfde8b,Guatemalans,Mexicans,Mexican<sv>Mexicans,0.0,0.0
927,29d9b06a-692b-422e-bb17-74419fe7a33f,25 and 64,between 25 and 64,24 and younger<sv>between 25 and 64,0.86,0.0
