,query_id,prediction,answer,validated_answers,f1,exact_match
65,6fc56ebd-64f9-48ef-a336-174e465fe48e,murder rate <ss> burglary rate,murder<ss>burglary,murder rate<ss>burglary<sv>murder<ss>burglary,0.83,0.0
247,bdd34ef1-19e4-4baf-b763-0a346e870471,under age 18 <ss> 25 to 44,under age 18<ss>45 to 64,under age 18<ss>age 45 to 64<sv>under age 18<ss>age 45 to 64,0.5,0.0
19,a0d6b6e2-edbe-47e9-a8bf-41d434edd643,Italian <ss> Guyanese,Guyanese<ss>Irish,"Guyanese<ss>Irish<sv>Guyanese, Irish",0.5,0.0
174,2c4c5003-e35a-45fa-bd57-2bec7a019c6c,4-yard <ss> 14-yard <ss> Derek Anderson <ss> Cleo Lemon,4-yard<ss>5-yard,5-yard<sv>4-yard<ss>5-yard,0.25,0.0
233,3b1d2481-ea0f-410d-a818-8c234af697b2,Vietnamese,Cantonese<ss>French<ss>Vietnamese,Cantonese<ss>French<ss>Vietnamese<sv>Cantonese<ss>French<ss>Vietnamese,0.33,0.0
87,3a628138-e841-47e9-89cc-2781f9a3b3d0,encampment,defense preparations had assured<ss>no boats were available,launched a successful surprise attack<sv>surprise attack<sv>surprise attack<sv>surprise attack,0.0,0.0
220,894b5cac-0c9c-421e-bda9-f0b1e49541d3,Hindu <ss> Hindu,Hindu<ss>Muslim,"hennais population was 80.7% Hindu, 9.5% Muslim,<sv>Hindu<ss>Muslim",0.5,0.0
50,02386f77-66ce-4d58-8286-4603e86bece9,"In 1949, the <ss> Second Hungarian Republic <ss> was established under Soviet influence. <ss> In 1946, the <ss> Second Hungarian Republic <ss> was established by Nazi Germany and Horthy was deposed.",the Second Hungarian Republic<ss>was established,Second Hungarian Republic was established<sv>occupied by Nazi Germany<sv>Second Hungarian Republic was established<sv>occupied by Nazi Germany<sv>Second Hungarian Republic was established,0.26,0.0
108,1dcf42a9-62d6-4a4b-9014-1b2009b1b584,Marshal of France Hugh,France Hugh<ss>Philip of Montfort,France Hugh<sv>France Hugh,0.67,0.0
36,26c48624-0dec-4bf1-b4c9-e29d842415a9,Italian <ss> united states <ss> Italian <ss> Italian,French Canadian<ss>German<ss>Italian<ss>united states<ss>Italian<ss>English,French Canadian<ss>German<ss>Italian<ss>united states<sv>French Canadian<ss>German<ss>Italian<ss>united states<ss>Italian<ss>English,0.5,0.0
